,city,lat,lon,temp,humidity,cloud_cover,wind_speed,country,date
88,sale,34.04,-6.82,63.64,82,46,6.93,MA,1588714242
89,prince rupert,54.32,-130.32,55.29,55,39,5.17,CA,1588714237
90,villazon,-22.09,-65.59,56.93,30,0,5.88,BO,1588714242
91,saint-augustin,51.23,-58.65,34.77,90,100,23.44,CA,1588714242
92,pevek,69.7,170.31,17.35,89,30,1.66,RU,1588714242
93,ayorou,14.73,0.92,90.07,26,63,4.97,NE,1588714243
94,telford,52.68,-2.45,48.97,61,87,9.17,GB,1588714199
95,fonte boa,-2.5,-66.27,76.44,95,82,3.98,BR,1588714243
96,rosarito,32.33,-117.03,84.42,45,5,14.99,MX,1588714243
97,namatanai,-3.67,152.43,82.76,66,99,2.42,PG,1588714244
98,kavieng,-2.57,150.8,82.67,77,100,4.63,PG,1588714189
99,matagami,49.75,-77.63,37.4,29,1,9.17,CA,1588714244
100,nizwa,22.93,57.53,84.09,39,10,6.53,OM,1588714244
101,sitka,57.05,-135.33,53.6,58,40,8.05,US,1588714213
102,tabou,4.42,-7.35,80.85,83,98,5.5,CI,1588714244
103,ajdabiya,30.76,20.23,61.97,61,0,9.75,LY,1588714245
104,kizukuri,40.81,140.39,51.33,78,10,1.01,JP,1588714245
105,gambiran,-6.8,111.5,74.97,92,4,3.38,ID,1588714245
106,ribeira grande,38.52,-28.7,62.6,77,75,16.11,PT,1588714245
107,dunda,-8.12,34.25,63.77,90,7,1.16,TZ,1588714246
108,marawi,8.0,124.29,78.01,91,39,3.0,PH,1588714212
109,arlit,18.74,7.39,87.08,12,0,13.6,NE,1588714246
110,pisco,-13.7,-76.22,69.03,73,75,16.11,PE,1588714246
111,shache,38.42,77.24,66.22,41,100,3.49,CN,1588714246
112,zaterechnyy,44.79,45.21,66.06,64,100,3.74,RU,1588714246
113,flinders,-34.58,150.86,50.67,89,28,1.01,AU,1588714247
114,puerto ayora,-0.74,-90.35,80.89,74,40,17.22,EC,1588714247
115,wajid,3.81,43.25,79.88,71,74,9.69,SO,1588714247
116,tura,25.52,90.22,70.9,88,47,3.04,IN,1588714247
117,chipinge,-20.19,32.62,54.43,78,0,3.02,ZW,1588714248
118,sokolo,14.73,-6.12,89.08,28,89,6.46,ML,1588714248
